EMPLOYEES
Name: Kevin | Dept: -1 | Salary: 30000
Name: Oscar | Dept: -1 | Salary: 30000
Name: Paul | Dept: -1 | Salary: 15000
Name: Ivy | Dept: -1 | Salary: 10000
Name: Tina | Dept: -1 | Salary: 5000
Name: Caleb | Dept: -1 | Salary: 2000
Name: Bella | Dept: -1 | Salary: 0
Name: Eve | Dept: -1 | Salary: 0
Name: Grace | Dept: -1 | Salary: -1
Name: Hank | Dept: -1 | Salary: -1
Name: Mallory | Dept: -1 | Salary: -1
Name: Monica | Dept: -1 | Salary: -1
Name: Quinn | Dept: -1 | Salary: -1
Name: Samuel | Dept: -1 | Salary: -1
Name: Tom | Dept: -1 | Salary: -1
Name: UNDEFINED | Dept: -1 | Salary: -1
Name: Victor | Dept: -1 | Salary: -1
Name: Xena | Dept: -1 | Salary: -1
Name: Peter | Dept: 5 | Salary: 25000
Name: Jack | Dept: 5 | Salary: -1
Name: Yuri | Dept: 7 | Salary: 7000
Name: UNDEFINED | Dept: 8 | Salary: 33000
Name: Zoe | Dept: 9 | Salary: -1
Name: Kevin | Dept: 10 | Salary: 55000
Name: Bob | Dept: 10 | Salary: 50000
Name: John | Dept: 10 | Salary: 50000
Name: Olivia | Dept: 10 | Salary: 50000
Name: Xavier | Dept: 10 | Salary: 50000
Name: Ruth | Dept: 12 | Salary: -1
Name: Ethan | Dept: 15 | Salary: 55000
Name: Fiona | Dept: 15 | Salary: 55000
Name: David | Dept: 15 | Salary: -1
Name: Lisa | Dept: 20 | Salary: 62000
Name: Alice | Dept: 20 | Salary: 60000
Name: Frank | Dept: 20 | Salary: 60000
Name: Nathan | Dept: 20 | Salary: 60000
Name: Yara | Dept: 20 | Salary: 60000
Name: Rachel | Dept: 25 | Salary: 70000
Name: Steve | Dept: 25 | Salary: 70000
Name: Mike | Dept: 30 | Salary: 48000
Name: Zack | Dept: 30 | Salary: 48000
Name: UNDEFINED | Dept: 30 | Salary: 40000
Name: Ian | Dept: 35 | Salary: 85000
Name: George | Dept: 35 | Salary: 80000
Name: Hannah | Dept: 35 | Salary: 80000
Name: Aaron | Dept: 40 | Salary: 72000
Name: Nancy | Dept: 40 | Salary: 0
Name: Julia | Dept: 45 | Salary: -1
Name: Laura | Dept: 50 | Salary: 95000
Name: Uma | Dept: 50 | Salary: 90000
Name: Wendy | Dept: 60 | Salary: -1
Name: Will | Dept: 100 | Salary: 110000
Name: Ulysses | Dept: 100 | Salary: 100000
Name: Vera | Dept: 100 | Salary: 100000
